imdb_id,title,type,rating,numVotes,genres,isAdult
tt7395114,The Devil All the Time,movie,7.1,105158,"Crime,Drama,Thriller",0
tt8824648,Girl From Nowhere,tvSeries,7.7,2176,"Crime,Drama,Fantasy",0
tt0098936,Twin Peaks,tvSeries,8.8,179897,"Crime,Drama,Mystery",0
tt12867810,Seutateueob,tvSeries,8.1,5100,"Comedy,Drama,Romance",0
tt8923854,Black Summer,tvSeries,6.4,19908,"Action,Drama,Horror",0
tt2243973,Hannibal,tvSeries,8.5,233786,"Crime,Drama,Horror",0
tt6128300,Dynasty,tvSeries,7.3,16038,Drama,0
tt1327801,Glee,tvSeries,6.7,138706,"Comedy,Drama,Music",0
tt0407887,The Departed,movie,8.5,1216541,"Crime,Drama,Thriller",0
tt0112178,Star Trek: Voyager,tvSeries,7.8,60973,"Action,Adventure,Sci-Fi",0
tt11658120,Xtremo,movie,5.7,1591,"Action,Crime,Drama",0
tt1959563,The Hitman's Bodyguard,movie,6.9,195308,"Action,Comedy,Crime",0
tt0121955,South Park,tvSeries,8.7,337191,"Animation,Comedy",0
tt0417299,Avatar: The Last Airbender,tvSeries,9.3,260290,"Action,Adventure,Animation",0
tt5675620,The Punisher,tvSeries,8.5,191192,"Action,Crime,Drama",0
tt2580046,Miraculous: Tales of Ladybug & Cat Noir,tvSeries,7.7,7609,"Action,Adventure,Animation",0
tt3749900,Gotham,tvSeries,7.8,214771,"Action,Crime,Drama",0
tt14217100,Ferry,movie,7.1,6748,"Action,Crime,Drama",0
tt2249364,Broadchurch,tvSeries,8.4,98727,"Crime,Drama,Mystery",0
tt2543164,Arrival,movie,7.9,615231,"Drama,Sci-Fi",0
tt3322312,Daredevil,tvSeries,8.6,370631,"Action,Crime,Drama",0
tt1396484,It,movie,7.3,472888,Horror,0
tt0086765,"Murder, She Wrote",tvSeries,7,19653,"Crime,Drama,Mystery",0
tt1856010,House of Cards,tvSeries,8.7,473402,Drama,0
tt3906732,Good Witch,tvSeries,7.3,7924,"Comedy,Drama,Fantasy",0
tt0397442,Gossip Girl,tvSeries,7.4,157517,"Drama,Romance",0
tt5151816,Chesapeake Shores,tvSeries,7.5,5202,"Drama,Family",0
tt0118300,Dawson's Creek,tvSeries,6.6,37546,"Drama,Romance",0
tt11286314,Don't Look Up,movie,,,Comedy,0
tt1838556,Honest Thief,movie,6,36583,"Action,Crime,Drama",0
tt3890160,Baby Driver,movie,7.6,459253,"Action,Crime,Drama",0
